"id","name","degree","startDate","username","createdAt","updatedAt"
"5f16bcea6f565823945a2c40","Politechnika Opolska","Bachelor degree","2018-10-01T00:00:00.000Z","user20","2020-07-21T10:01:14.874Z","2020-07-21T10:22:28.804Z"
"5f16c4448aaf4e5200a1bce9","Universidad de Jaen","Bachelor degree","2018-10-01T00:00:00.000Z","user20","2020-07-21T10:32:36.560Z","2020-07-21T11:13:32.964Z"
